OBJECTID,Node,NODE_1,DATETAKEN,ON_ST,FRM_ST,TO_ST,CLASS,Dir1,Count1,Dir2,Count2,TotalVolume,Shape_STLength__,ShapeSTLength
1,0,0,2016-03-29T00:00:00.000Z,Continental Dr,College,McAllister,Collector,East Bound,776,West Bound,711,1487,2639.31523273,2639.31523272504
2,1,1,2018-03-27T07:00:00.000Z,College Ave,Continental,McKellips,Collector,North Bound,3995,South Bound,4325,8320,2627.8330891,2627.83308910058
3,2,2,2018-01-25T07:00:00.000Z,Scottsdale Rd,Continental,McKellips,Arterial,North Bound,17937,South Bound,17550,35487,2633.26534576,2633.26534576436
4,3,3,2016-03-31T00:00:00.000Z,McKellips Rd,Scottsdale,McClintock,Arterial,East Bound,7159,West Bound,7601,14760,5260.32837496,5260.3283749565
5,4,4,2018-02-22T07:00:00.000Z,McKellips Rd,College,Scottsdale,Arterial,East Bound,2830,West Bound,3120,5950,2672.61391724,2672.6139172374
6,5,5,2018-03-27T07:00:00.000Z,College Ave,McKellips,Curry,Collector,North Bound,3354,South Bound,3648,7003,4405.61926501,4405.61926501096
7,6,6,2018-01-25T07:00:00.000Z,Scottsdale Rd,McKellips,Curry,Arterial,North Bound,20821,South Bound,20549,41370,3977.70215067,3977.70215066868
8,7,7,2016-11-15T07:00:00.000Z,McClintock Dr,McKellips,Curry,Arterial,North Bound,13851,South Bound,12744,26595,3965.94152291,3965.94152290605
9,8,8,2018-02-28T07:00:00.000Z,Curry Rd,Scottsdale,McClintock,Arterial,East Bound,5884,West Bound,6019,11903,5124.75526688,5124.75526687572
10,9,9,2018-02-28T07:00:00.000Z,Curry Rd,College,Scottsdale,Arterial,East Bound,9008,West Bound,8016,17024,1379.77824733,1379.77824733157
11,10,10,2018-03-27T07:00:00.000Z,Curry Rd,Mill,College,Arterial,East Bound,9991,West Bound,9065,19056,4008.49449461,4008.49449460959
12,11,11,2018-03-27T07:00:00.000Z,Mill Ave,n/o,Washington,Arterial,North Bound,6804,South Bound,6066,12870,4242.50784524,4242.50784523832
13,12,12,2018-01-24T07:00:00.000Z,Washington St,Priest,Mill,Arterial,East Bound,5462,West Bound,6649,12111,4689.54121803,4689.54121803105
14,13,13,2018-02-15T07:00:00.000Z,Washington St,56th,Priest,Arterial,East Bound,6367,West Bound,5230,11597,1762.85287976,1762.8528797616
15,14,14,2018-01-25T07:00:00.000Z,Priest Dr,Van Buren,Washington,Arterial,North Bound,5946,South Bound,5893,11839,2465.29051017,2465.29051016921
16,15,15,2016-03-23T00:00:00.000Z,Priest Dr,Washington,202,Arterial,North Bound,12749,South Bound,12709,25458,1653.63943237,1653.63943236828
17,16,16,2018-01-23T07:00:00.000Z,Rio Salado,Priest,Hardy,Arterial,East Bound,6828,West Bound,6604,13432,2741.1175727,2741.11757270396
18,17,17,2018-03-27T07:00:00.000Z,Mill Ave,Curry,University,Arterial,North Bound,9235,South Bound,7578,16813,5936.40767399,5936.40767399103
19,18,18,2018-01-25T07:00:00.000Z,Scottsdale Rd,Curry,Rio Salado,Arterial,North Bound,22530,South Bound,21931,44461,4181.64378187,4181.64378186751
20,19,19,2016-11-15T07:00:00.000Z,McClintock Dr,Curry,Rio Salado,Arterial,North Bound,14399,South Bound,16352,30751,4061.48362076,4061.48362075778
21,20,20,2018-01-23T07:00:00.000Z,Rio Salado,Hardy,Mill,Arterial,East Bound,5778,West Bound,5740,11518,2786.31993458,2786.31993458153
22,21,21,2018-01-10T07:00:00.000Z,Priest Dr,Rio Salado,University,Arterial,North Bound,17531,South Bound,17559,35090,2770.97304339,2770.9730433936
23,22,22,2018-03-29T00:00:00.000Z,5th St,Priest,Hardy,Collector,East Bound,2638,West Bound,1883,4521,2665.45231375,2665.45231375431
24,23,23,2018-03-29T00:00:00.000Z,5th St,Hardy,Mill,Collector,East Bound,2205,West Bound,2184,4389,3737.38419165,3737.38419165285
25,24,24,2018-03-29T00:00:00.000Z,5th St,Mill,College,Collector,East Bound,3750,West Bound,3527,7277,1545.11708182,1545.11708181741
26,25,25,2016-11-08T07:00:00.000Z,Rio Salado,Mill,Rural,Arterial,East Bound,12051,West Bound,12571,24622,4447.44416572,4447.44416572246
27,26,26,2016-10-06T07:00:00.000Z,Rural Rd,Rio Salado,University,Arterial,North Bound,19940,South Bound,18804,38744,2469.50019887,2469.50019887183
28,27,27,2018-01-23T07:00:00.000Z,Rio Salado,Rural,McClintock,Null,East Bound,8944,West Bound,7617,16561,5294.57083189,5294.57083188825
29,28,28,2018-01-23T07:00:00.000Z,Rio Salado,McClintock,Price,Arterial,East Bound,15366,West Bound,16073,31439,5261.20799751,5261.20799751384
30,29,29,2016-09-21T07:00:00.000Z,SB Price Rd,Rio Salado,University,Arterial,Null,0,South Bound,11371,11371,2673.17758707,2673.17758706754
